Data,Municípios,Vacina,Grupo,Doses Aplicadas,Doses Aplicadas (D1),Doses Aplicadas (D2),Doses Aplicadas (DU),Doses Aplicadas (REF)
09/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,665,442,223,0,0
09/02/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,341,341,0,0,0
09/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,197,197,0,0,0
09/02/2021,Aquidauana,CoronaVac/Butantan,Idosos em Instituições,56,28,28,0,0
10/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,60,60,0,0,0
10/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,3,0,0,0
11/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,97,97,0,0,0
11/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,52,25,27,0,0
12/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,91,91,0,0,0
12/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,55,2,53,0,0
15/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,31,31,0,0,0
15/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,3,3,0,0,0
16/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,33,33,0,0,0
16/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,8,8,0,0,0
17/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,51,51,0,0,0
17/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,12,11,1,0,0
18/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,88,88,0,0,0
18/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,2,2,0,0
19/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,45,45,0,0,0
19/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,1,1,0,0,0
22/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,33,3,30,0,0
22/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,27,0,27,0,0
23/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,7,5,2,0,0
23/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,36,0,36,0,0
24/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,2,1,1,0,0
24/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,62,0,62,0,0
25/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,34,20,14,0,0
25/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,10,5,5,0,0
26/02/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,43,43,0,0,0
26/02/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,2,1,0,0
01/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,25,21,4,0,0
01/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,2,1,0,0
02/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,75,15,60,0,0
02/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,10,2,8,0,0
03/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,105,33,72,0,0
03/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,2,1,0,0
04/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,84,30,54,0,0
04/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,13,1,12,0,0
05/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,58,13,45,0,0
05/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,6,2,4,0,0
08/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,78,78,0,0,0
08/03/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,34,34,0,0,0
08/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,7,2,5,0,0
08/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,22,0,22,0,0
09/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,47,47,0,0,0
09/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,52,2,50,0,0
09/03/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,1,1,0,0,0
09/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,13,0,13,0,0
10/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,57,57,0,0,0
10/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,46,7,39,0,0
