Data,Municípios,Vacina,Doses Enviadas,Doses Enviadas (D1),Doses Enviadas (D2),Doses Enviadas (DU),Doses Enviadas (REF)
09/02/2021,Aquidauana,CoronaVac/Butantan,8.133,4.292,3.841,0,0
09/02/2021,Aquidauana,Oxford/Fiocruz,350,350,0,0,0
26/02/2021,Aquidauana,Oxford/Fiocruz,490,490,0,0,0
26/02/2021,Aquidauana,CoronaVac/Butantan,250,250,0,0,0
04/03/2021,Aquidauana,CoronaVac/Butantan,1.602,1.312,290,0,0
11/03/2021,Aquidauana,CoronaVac/Butantan,600,440,160,0,0
17/03/2021,Aquidauana,CoronaVac/Butantan,1.030,1.030,0,0,0
22/03/2021,Aquidauana,CoronaVac/Butantan,910,660,250,0,0
22/03/2021,Aquidauana,Oxford/Fiocruz,50,50,0,0,0
26/03/2021,Aquidauana,CoronaVac/Butantan,750,750,0,0,0
26/03/2021,Aquidauana,Oxford/Fiocruz,160,160,0,0,0
01/04/2021,Aquidauana,Oxford/Fiocruz,180,180,0,0,0
02/04/2021,Aquidauana,CoronaVac/Butantan,440,0,440,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,290,0,290,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,198,198,0,0,0
10/04/2021,Aquidauana,Oxford/Fiocruz,550,375,175,0,0
10/04/2021,Aquidauana,CoronaVac/Butantan,528,13,515,0,0
11/04/2021,Aquidauana,CoronaVac/Butantan,543,543,0,0,0
16/04/2021,Aquidauana,Oxford/Fiocruz,950,775,175,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,580,0,580,0,0
17/04/2021,Aquidauana,CoronaVac/Butantan,164,0,164,0,0
23/04/2021,Aquidauana,Oxford/Fiocruz,775,775,0,0,0
23/04/2021,Aquidauana,CoronaVac/Butantan,170,0,170,0,0
30/04/2021,Aquidauana,Oxford/Fiocruz,1.185,1.185,0,0,0
30/04/2021,Aquidauana,CoronaVac/Butantan,70,35,35,0,0
04/05/2021,Aquidauana,Oxford/Fiocruz,1.605,1.605,0,0,0
04/05/2021,Aquidauana,CoronaVac/Butantan,160,35,125,0,0
08/05/2021,Aquidauana,Pfizer,258,258,0,0,0
08/05/2021,Aquidauana,CoronaVac/Butantan,580,205,375,0,0
08/05/2021,Aquidauana,Oxford/Fiocruz,980,0,980,0,0
14/05/2021,Aquidauana,Oxford/Fiocruz,470,115,355,0,0
18/05/2021,Aquidauana,Oxford/Fiocruz,880,880,0,0,0
18/05/2021,Aquidauana,Pfizer,150,150,0,0,0
18/05/2021,Aquidauana,CoronaVac/Butantan,2.170,45,2.125,0,0
26/05/2021,Aquidauana,Oxford/Fiocruz,2.010,2.010,0,0,0
27/05/2021,Aquidauana,Pfizer,144,144,0,0,0
02/06/2021,Aquidauana,Oxford/Fiocruz,1.685,1.685,0,0,0
02/06/2021,Aquidauana,Pfizer,138,138,0,0,0
02/06/2021,Aquidauana,CoronaVac/Butantan,130,0,130,0,0
09/06/2021,Aquidauana,Pfizer,492,492,0,0,0
10/06/2021,Aquidauana,Oxford/Fiocruz,855,855,0,0,0
18/06/2021,Aquidauana,Pfizer,534,534,0,0,0
18/06/2021,Aquidauana,CoronaVac/Butantan,610,305,305,0,0
21/06/2021,Aquidauana,Oxford/Fiocruz,2.070,0,2.070,0,0
25/06/2021,Aquidauana,Pfizer,606,606,0,0,0
25/06/2021,Aquidauana,CoronaVac/Butantan,780,390,390,0,0
25/06/2021,Aquidauana,Janssen,310,0,0,310,0
01/07/2021,Aquidauana,Oxford/Fiocruz,1.345,1.345,0,0,0
01/07/2021,Aquidauana,Pfizer,498,498,0,0,0
01/07/2021,Aquidauana,Janssen,725,0,0,725,0
05/07/2021,Aquidauana,Janssen,370,0,0,370,0
05/07/2021,Aquidauana,Oxford/Fiocruz,640,0,640,0,0
05/07/2021,Aquidauana,Pfizer,408,0,408,0,0
09/07/2021,Aquidauana,Janssen,755,0,0,755,0
11/07/2021,Aquidauana,Pfizer,522,522,0,0,0
11/07/2021,Aquidauana,CoronaVac/Butantan,196,98,98,0,0
15/07/2021,Aquidauana,Janssen,115,0,0,115,0
16/07/2021,Aquidauana,Oxford/Fiocruz,695,695,0,0,0
20/07/2021,Aquidauana,CoronaVac/Butantan,390,200,190,0,0
20/07/2021,Aquidauana,Oxford/Fiocruz,250,0,250,0,0
21/07/2021,Aquidauana,Pfizer,282,282,0,0,0
21/07/2021,Aquidauana,Oxford/Fiocruz,1.080,0,1.080,0,0
28/07/2021,Aquidauana,CoronaVac/Butantan,720,340,380,0,0
28/07/2021,Aquidauana,Oxford/Fiocruz,220,220,0,0,0
29/07/2021,Aquidauana,Pfizer,444,444,0,0,0
29/07/2021,Aquidauana,Oxford/Fiocruz,540,320,220,0,0
02/08/2021,Aquidauana,CoronaVac/Butantan,30,30,0,0,0
02/08/2021,Aquidauana,Pfizer,306,24,282,0,0
05/08/2021,Aquidauana,Pfizer,366,366,0,0,0
05/08/2021,Aquidauana,CoronaVac/Butantan,140,140,0,0,0
07/08/2021,Aquidauana,Pfizer,804,804,0,0,0
07/08/2021,Aquidauana,Oxford/Fiocruz,1.180,0,1.180,0,0
10/08/2021,Aquidauana,Pfizer,492,0,492,0,0
12/08/2021,Aquidauana,Oxford/Fiocruz,350,0,350,0,0
14/08/2021,Aquidauana,Pfizer,210,210,0,0,0
16/08/2021,Aquidauana,Pfizer,648,648,0,0,0
17/08/2021,Aquidauana,Pfizer,918,384,534,0,0
17/08/2021,Aquidauana,Oxford/Fiocruz,1.005,0,1.005,0,0
21/08/2021,Aquidauana,Pfizer,552,294,258,0,0
21/08/2021,Aquidauana,CoronaVac/Butantan,80,0,80,0,0
24/08/2021,Aquidauana,Pfizer,402,54,348,0,0
24/08/2021,Aquidauana,CoronaVac/Butantan,150,30,120,0,0
24/08/2021,Aquidauana,Oxford/Fiocruz,1.160,0,1.160,0,0
27/08/2021,Aquidauana,CoronaVac/Butantan,500,500,0,0,0
27/08/2021,Aquidauana,Pfizer,828,210,0,0,618
31/08/2021,Aquidauana,CoronaVac/Butantan,240,120,120,0,0
31/08/2021,Aquidauana,Pfizer,288,42,138,0,108
31/08/2021,Aquidauana,Oxford/Fiocruz,550,0,550,0,0
02/09/2021,Aquidauana,Oxford/Fiocruz,485,0,485,0,0
02/09/2021,Aquidauana,Pfizer,324,0,324,0,0
03/09/2021,Aquidauana,Pfizer,714,174,354,0,186
08/09/2021,Aquidauana,Pfizer,1.422,240,930,0,252
09/09/2021,Aquidauana,Pfizer,210,96,12,0,102
10/09/2021,Aquidauana,CoronaVac/Butantan,1.910,0,1.910,0,0
14/09/2021,Aquidauana,Pfizer,1.638,402,816,0,420
17/09/2021,Aquidauana,Pfizer,1.056,516,0,0,540
17/09/2021,Aquidauana,Oxford/Fiocruz,560,0,560,0,0
21/09/2021,Aquidauana,Pfizer,1.842,522,330,0,990
21/09/2021,Aquidauana,Janssen,240,0,0,240,0
21/09/2021,Aquidauana,Oxford/Fiocruz,655,0,655,0,0
27/09/2021,Aquidauana,Pfizer,1.116,480,48,0,588
27/09/2021,Aquidauana,Oxford/Fiocruz,175,0,175,0,0
29/09/2021,Aquidauana,Pfizer,1.014,144,678,0,192
29/09/2021,Aquidauana,Oxford/Fiocruz,210,0,210,0,0
08/10/2021,Aquidauana,Pfizer,522,102,210,0,210
08/10/2021,Aquidauana,Oxford/Fiocruz,540,0,540,0,0
15/10/2021,Aquidauana,Pfizer,600,0,0,0,600
26/10/2021,Aquidauana,Oxford/Fiocruz,200,0,200,0,0
26/10/2021,Aquidauana,Pfizer,102,0,54,0,48
09/11/2021,Aquidauana,Pfizer,822,0,0,0,822
17/11/2021,Aquidauana,Pfizer,804,0,0,0,804
19/11/2021,Aquidauana,Oxford/Fiocruz,130,0,130,0,0
19/11/2021,Aquidauana,Pfizer,1.260,0,0,0,1.260
23/11/2021,Aquidauana,Pfizer,1.956,1.002,0,0,954
26/11/2021,Aquidauana,Pfizer,1.248,0,0,0,1.248
30/11/2021,Aquidauana,Pfizer,1.500,1.500,0,0,0
07/12/2021,Aquidauana,Pfizer,504,0,0,0,504
08/12/2021,Aquidauana,Janssen,1.975,0,0,0,1.975
10/12/2021,Aquidauana,Pfizer,1.002,0,0,0,1.002
14/12/2021,Aquidauana,Pfizer,2.004,0,0,0,2.004
04/01/2022,Aquidauana,Pfizer,180,0,180,0,0
11/01/2022,Aquidauana,Pfizer,2.004,0,0,0,2.004
14/01/2022,Aquidauana,Pfizer,590,590,0,0,0
18/01/2022,Aquidauana,Pfizer,508,460,0,0,48
18/01/2022,Aquidauana,Oxford/Fiocruz,40,0,0,0,40
27/01/2022,Aquidauana,Pfizer,550,0,550,0,0
01/02/2022,Aquidauana,Pfizer,48,0,0,0,48
02/02/2022,Aquidauana,Pfizer,570,0,0,0,570
10/02/2022,Aquidauana,Pfizer,490,0,490,0,0
15/02/2022,Aquidauana,Oxford/Fiocruz,300,0,300,0,0
15/02/2022,Aquidauana,Pfizer,2.004,0,2.004,0,0
18/02/2022,Aquidauana,Pfizer,460,460,0,0,0
07/03/2022,Aquidauana,Pfizer,196,196,0,0,0
08/03/2022,Aquidauana,Pfizer,2.204,0,200,0,2.004
09/03/2022,Aquidauana,CoronaVac/Butantan,300,300,0,0,0
09/03/2022,Aquidauana,Oxford/Fiocruz,300,300,0,0,0
18/03/2022,Aquidauana,Oxford/Fiocruz,60,0,60,0,0
18/03/2022,Aquidauana,Pfizer,302,0,200,0,102
24/03/2022,Aquidauana,CoronaVac/Butantan,600,600,0,0,0
24/03/2022,Aquidauana,Oxford/Fiocruz,500,500,0,0,0
24/03/2022,Aquidauana,Pfizer,1.302,0,1.302,0,0
01/04/2022,Aquidauana,Pfizer,180,0,180,0,0
